# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	ThiagoSantos_TFC2024
# Description:	 	PtIr_old_AFMtest01_AuSi
# Date:	 	05/15/2024 11:56:15
# Scanner Center Position (X, Y):	[µm]	56.97	38.37	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer Center/Distance:	[µm]	750.000	1,500.000	 
# Averaging:	 	1	 	 
# Integration time:	[ms]	20	 	 
# Wavenumber Scaling:	 	0.979340	 	 
# Laser Source:	 	Synchrotron
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	273,232.594	 	 
# Tip Amplitude:	[mV]	156.699	 	 
# Tapping Amplitude:	[nm]	88.132	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	87.04	 	 
# Regulator (P, I, D):	 	2.551595	4.025369	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	0.362	 	 
# M1A Cantilever Factor:	 	1.000	 	 
# Q-Factor:	 	376.4	 	 
# Version:	 	2.1.11145.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	82	66.92156666666666	1.4319216	-2.2693055	2.2996728	-0.8372928	1.0399469	-2.7443485	0.91376543	-0.22190583	0.17907338	-2.3239558	0	0	
0	0	83	67.73768333333334	1.8023185	-2.4920614	2.6369004	-1.8304225	0.9471792	2.6779027	0.732642	-1.038149	0.15959415	2.7078364	0	0	
0	0	84	68.55380000000001	2.2980573	-2.9242995	2.7796822	-2.6697855	0.8074682	1.8946489	0.4752193	-1.7100341	0.14696231	1.4873488	0	0	
0	0	85	69.36991666666668	2.5921342	2.8132484	2.6844823	2.9121156	0.6644244	1.1985296	0.25041538	-1.8797446	0.1322747	0.3012583	0	0	
0	0	86	70.18603333333334	2.5156317	2.2464428	2.4898562	2.3514197	0.56017256	0.56217134	0.30945078	-1.5955671	0.115548424	-0.92692053	0	0	
0	0	87	71.00215	2.0807633	1.7472246	2.4121678	1.8879064	0.4956103	-0.10723803	0.49092448	-2.0560424	0.1108786	-2.2567286	0	0	
0	0	88	71.81826666666667	1.5399246	1.4712714	2.4851131	1.3993274	0.43048158	-0.90547526	0.60172004	-2.7583385	0.1331272	2.7419784	0	0	
0	0	89	72.63438333333335	1.4347098	1.4795004	2.4765754	0.80264676	0.3343464	-1.9208199	0.6075734	2.758674	0.17649418	1.6523702	0	0	
0	0	90	73.4505	1.8320031	1.2815589	2.139618	0.07936673	0.25341612	2.8879232	0.512371	1.9767033	0.22613133	0.70945066	0	0	
0	0	91	74.26661666666668	2.129064	0.82073826	1.4229518	-0.8660879	0.36077332	1.20505	0.3344509	1.2223881	0.26971886	-0.15665834	0	0	
0	0	92	75.08273333333334	1.9799012	0.2853868	0.90941703	-2.635553	0.6284384	0.032961793	0.10515377	0.83436	0.29700658	-0.9820877	0	0	
0	0	93	75.89885000000001	1.3611686	-0.1385374	1.8750447	2.024012	0.936104	-0.8809446	0.21200407	2.2270455	0.29992694	-1.7790577	0	0	
0	0	94	76.71496666666667	0.8263349	0.17241007	3.2578208	1.0834545	1.2273543	-1.6696436	0.5219116	1.5764548	0.27448756	-2.5433662	0	0	
0	0	95	77.53108333333334	1.5904719	0.42866147	4.4516315	0.2872267	1.4868218	-2.3695264	0.8430649	0.80159277	0.22298908	3.0314176	0	0	
0	0	96	78.34720000000002	2.6211207	-0.048062775	5.220099	-0.4628903	1.7379018	-3.005226	1.1462532	0.009425784	0.15604988	2.445706	0	0	
0	0	97	79.16331666666667	3.249509	-0.67840844	5.4550953	-1.1932672	2.013297	2.6682196	1.3993472	-0.7844112	0.09718192	2.1758544	0	0	
0	0	98	79.97943333333333	3.2517924	-1.3465436	5.1555943	-1.9173552	2.2992082	2.0425053	1.5694484	-1.5778514	0.08666035	2.3065705	0	0	
0	0	99	80.79555	2.622551	-2.0103583	4.40847	-2.649797	2.512368	1.3771594	1.6302854	-2.3743405	0.114465185	2.1645916	0	0	
0	0	100	81.61166666666668	1.5587441	-2.6074698	3.3653665	2.8644676	2.5359964	0.6678541	1.5702851	3.100559	0.14035776	1.8138318	0	0	
0	0	101	82.42778333333335	0.48993778	-2.6563506	2.2384427	1.9829266	2.2770498	-0.08473665	1.3990798	2.2627006	0.16275254	1.4415048	0	0	
0	0	102	83.24390000000001	0.7415666	-1.6010664	1.3984098	0.7665222	1.7115809	-0.89356554	1.1532253	1.3588809	0.19145747	1.0320638	0	0	
0	0	103	84.06001666666667	1.0896949	-1.9961151	1.4512721	-0.7318373	0.91767174	-1.8596504	0.90718436	0.32026124	0.22015408	0.5196569	0	0	
0	0	104	84.87613333333334	0.8238208	-2.341861	2.0861084	-1.8010926	0.39423966	2.1971016	0.7843679	-0.90347505	0.22656427	-0.10330899	0	0	
0	0	105	85.69225000000002	0.6919387	-1.5726838	2.7002568	-2.6061404	1.0836241	0.5062998	0.865667	-2.1375024	0.19013205	-0.8250332	0	0	
0	0	106	86.50836666666667	1.8593558	-1.6073	3.1376727	2.959868	1.7195063	-0.40988532	1.0547093	3.0862546	0.10607089	-1.7242891	0	0	
0	0	107	87.32448333333335	3.1625469	-2.1709788	3.3836434	2.2637887	2.006897	-1.2257798	1.2167517	2.154152	0.049604975	2.023863	0	0	
0	0	108	88.14060000000002	4.0275464	-2.8184807	3.454334	1.5509294	1.8859203	-1.9972963	1.2742816	1.273769	0.17032391	0.5538345	0	0	
