# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	ThiagoSantos_TFC2024
# Description:	 	PtIr_old_AFMtest01_AuSi
# Date:	 	05/15/2024 11:56:15
# Scanner Center Position (X, Y):	[µm]	56.97	38.37	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer Center/Distance:	[µm]	750.000	1,500.000	 
# Averaging:	 	1	 	 
# Integration time:	[ms]	20	 	 
# Wavenumber Scaling:	 	0.979340	 	 
# Laser Source:	 	Synchrotron
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	273,232.594	 	 
# Tip Amplitude:	[mV]	156.699	 	 
# Tapping Amplitude:	[nm]	88.132	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	87.04	 	 
# Regulator (P, I, D):	 	2.551595	4.025369	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	0.362	 	 
# M1A Cantilever Factor:	 	1.000	 	 
# Q-Factor:	 	376.4	 	 
# Version:	 	2.1.11145.0
Row   	Column	Run   	Depth 	Z              	M              	O0A            	O0P            	O1A            	O1P            	O2A            	O2P            	O3A            	O3P            	O4A            	O4P            	O5A            	O5P            	
0     	0     	0     	31    	1.5193884E-06  	4.7150526E-05  	140.62949      	0              	8.504346       	2.9078622      	2.4465451      	-0.44957352    	0.9990214      	2.5804152      	0.16713434     	-0.6500099     	1.0648803E-07  	1.107468       	
0     	0     	0     	32    	1.5193515E-06  	4.8635004E-05  	141.13881      	0              	8.1770315      	2.9050894      	2.3198993      	-0.4588611     	0.9057389      	2.5743997      	0.16057914     	-0.70997936    	1.0648803E-07  	1.107468       	
0     	0     	0     	33    	1.5193758E-06  	5.007263E-05   	140.43533      	0              	8.213761       	2.909017       	2.38316        	-0.441759      	0.9048602      	2.5523407      	0.16633947     	-0.74682873    	1.0648803E-07  	1.107468       	
0     	0     	0     	34    	1.5194104E-06  	5.1564573E-05  	141.18945      	0              	8.600571       	2.9104595      	2.322526       	-0.43359882    	0.86967343     	2.5366764      	0.18062362     	-0.7739489     	1.0648803E-07  	1.107468       	
0     	0     	0     	35    	1.5194086E-06  	5.3017353E-05  	140.6191       	0              	7.9370146      	2.9041753      	2.2444744      	-0.4282627     	0.829257       	2.5525324      	0.18018161     	-0.6958421     	1.0648803E-07  	1.107468       	
0     	0     	0     	36    	1.519421E-06   	5.449015E-05   	140.83253      	0              	8.711954       	2.9089665      	2.4650595      	-0.44178787    	0.9671897      	2.5427623      	0.1724478      	-0.6275803     	1.0648803E-07  	1.107468       	
0     	0     	0     	37    	1.5195207E-06  	5.5945377E-05  	140.769        	0              	7.9317083      	2.9149663      	2.2256818      	-0.41122702    	0.8788969      	2.5411687      	0.1670782      	-0.66975874    	1.0648803E-07  	1.107468       	
0     	0     	0     	38    	1.5195368E-06  	5.7446687E-05  	140.84583      	0              	8.58031        	2.9077208      	2.3603654      	-0.4435115     	0.9242756      	2.5332398      	0.16779634     	-0.75391346    	1.0648803E-07  	1.107468       	
0     	0     	0     	39    	1.5194067E-06  	5.888106E-05   	140.76277      	0              	8.146855       	2.9059386      	2.3305192      	-0.4178108     	0.9387916      	2.5449543      	0.18117821     	-0.6726747     	1.0648803E-07  	1.107468       	
0     	0     	0     	40    	1.5193998E-06  	6.0349226E-05  	140.91803      	0              	8.288794       	2.9058948      	2.2774951      	-0.4217173     	0.89200824     	2.5213432      	0.15982428     	-0.74111253    	1.0648803E-07  	1.107468       	
0     	0     	0     	41    	1.5194588E-06  	6.182603E-05   	140.67973      	0              	8.492985       	2.9099028      	2.4282076      	-0.42253518    	0.93764263     	2.6635585      	0.15989368     	-0.5589643     	1.0648803E-07  	1.107468       	
0     	0     	0     	42    	1.5194422E-06  	6.33087E-05    	140.81671      	0              	8.111744       	2.9071262      	2.2968493      	-0.4152348     	0.88746023     	2.5668101      	0.17919387     	-0.6966887     	1.0648803E-07  	1.107468       	
0     	0     	0     	43    	1.5194217E-06  	6.4776796E-05  	140.67384      	0              	8.556491       	2.907658       	2.4164424      	-0.43934262    	0.96625465     	2.61901        	0.17661047     	-0.73338604    	1.0648803E-07  	1.107468       	
0     	0     	0     	44    	1.519439E-06   	6.6224005E-05  	141.08331      	0              	8.229994       	2.911205       	2.364898       	-0.4152799     	0.8928984      	2.5587335      	0.16215149     	-0.6289877     	1.0648803E-07  	1.107468       	
0     	0     	0     	45    	1.5194895E-06  	6.769988E-05   	140.61742      	0              	8.209675       	2.9022293      	2.3422103      	-0.44903535    	0.92704225     	2.5907211      	0.16704376     	-0.7037469     	1.0648803E-07  	1.107468       	
0     	0     	0     	46    	1.5193984E-06  	6.917117E-05   	140.79279      	0              	8.386765       	2.9105778      	2.384325       	-0.4252969     	0.8834238      	2.5790782      	0.16893604     	-0.6615293     	1.0648803E-07  	1.107468       	
0     	0     	0     	47    	1.5193937E-06  	7.065007E-05   	141.00269      	0              	8.134693       	2.9086597      	2.2976906      	-0.44136602    	0.9178974      	2.560699       	0.15516385     	-0.75995135    	1.0648803E-07  	1.107468       	
0     	0     	0     	48    	1.5194913E-06  	7.2097304E-05  	140.54285      	0              	8.452775       	2.908353       	2.4035184      	-0.41403568    	0.9519219      	2.5080922      	0.16299956     	-0.89540285    	1.0648803E-07  	1.107468       	
0     	0     	0     	49    	1.5194779E-06  	7.3562616E-05  	141.16286      	0              	8.299114       	2.9095042      	2.3011272      	-0.44883886    	0.9893518      	2.5174272      	0.16598517     	-0.6862365     	1.0648803E-07  	1.107468       	
